#  ABREU 96   ZP C73,11
#  Planarity distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = PLANARITY
#  y = (1/N)*D(N)/DPLANARITY
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.005  68.69    0.19    0.74
0.005  0.010  31.66    0.12    0.35
0.010  0.015  17.091   0.088   0.188
0.015  0.020  11.370   0.072   0.127
0.020  0.025   8.417   0.062   0.095
0.025  0.030   6.578   0.055   0.075
0.030  0.035   5.479   0.050   0.063
0.035  0.040   4.493   0.045   0.052
0.040  0.050   3.610   0.029   0.042
0.050  0.060   2.749   0.025   0.033
0.060  0.080   1.987   0.015   0.024
0.080  0.100   1.362   0.012   0.017
0.100  0.120   1.008   0.011   0.013
0.120  0.160   0.6676  0.0061  0.0093
0.160  0.200   0.4248  0.0048  0.0063
0.200  0.250   0.2692  0.0034  0.0042
0.250  0.300   0.1742  0.0028  0.0029
0.300  0.350   0.1042  0.0021  0.0019
0.350  0.400   0.0566  0.0015  0.0011
0.400  0.500   0.0145  0.0006  0.0003
