#  ABREU 96   ZP C73,11
#  Thrust Minor distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = MINOR
#  y = (1/N)*D(N)/DMINOR
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.020   0.0156  0.0017  0.0036
0.020  0.040   1.236   0.013   0.066
0.040  0.050   5.706   0.037   0.073
0.050  0.060   9.714   0.048   0.125
0.060  0.070  12.015   0.054   0.155
0.070  0.080  12.437   0.055   0.161
0.080  0.100  10.404   0.036   0.136
0.100  0.120   6.918   0.029   0.092
0.120  0.140   4.250   0.023   0.058
0.140  0.160   2.517   0.017   0.035
0.160  0.200   1.2561  0.0086  0.0187
0.200  0.240   0.4895  0.0054  0.0080
0.240  0.280   0.2112  0.0036  0.0039
0.280  0.320   0.0879  0.0023  0.0018
0.320  0.400   0.0250  0.0009  0.0006
