#  ABREU 96   ZP C73,11
# 1-Thrust distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = 1-THRUST
#  y = (1/N)*D(N)/D(1-THRUST)
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.010   1.030   0.019   0.076
0.010  0.020  10.951   0.051   0.527
0.020  0.030  17.645   0.066   0.547
0.030  0.040  14.192   0.061   0.292
0.040  0.050  10.009   0.050   0.152
0.050  0.060   7.572   0.044   0.101
0.060  0.070   5.760   0.038   0.076
0.070  0.080   4.619   0.034   0.062
0.080  0.090   3.792   0.031   0.051
0.090  0.100   3.176   0.028   0.042
0.100  0.120   2.456   0.018   0.032
0.120  0.140   1.825   0.015   0.022
0.140  0.160   1.401   0.013   0.016
0.160  0.180   1.074   0.011   0.011
0.180  0.200   0.8262  0.0100  0.0083
0.200  0.250   0.5525  0.0051  0.0065
0.250  0.300   0.3030  0.0038  0.0058
0.300  0.350   0.1312  0.0025  0.0044
0.350  0.400   0.0238  0.0012  0.0014
0.400  0.500   0.0007  0.0002  0.0001
