#<html><head><title>HEPDATA Reaction Database</title></head>
#<body bgcolor="#ffffff">
#<xmp>
# PFEIFENSCNEIDER 99   EPJ C17,19
# Differential distributions in Ynm (the minimum YCUT for the separation inton an
# d m(=n+1) jets)
# RE(Q=HAD)   E+ E- --&gt; HADRONS
# RE(Q=2JET)   E+ E- --&gt; 2JET X
# RE(Q=3JET)   E+ E- --&gt; 3JET X
# RE(Q=4JET)   E+ E- --&gt; 4JET X
# RE(Q=5JET)   E+ E- --&gt; 5JET X
# RE(Q=.GE.6JET)   E+ E- --&gt; .GE.6JET X
# SQRT(S) IN GEV   91
# x = Ynm
# y = D(SIG)/DY56
# x1     TO x2        y         dy    +- dsys
1.00E-05  1.33E-05    42.43    7.35   14.5
1.33E-05  1.78E-05    44.80    5.01   12.8
1.78E-05  2.37E-05    78.16    5.56   16.0
2.37E-05  3.16E-05   155.9     7.0     20.
3.16E-05  4.22E-05   309.6     8.9     44.
4.22E-05  5.62E-05   619.9    11.7    103.
5.62E-05  7.50E-05  1055.3    13.8    195.
7.50E-05  1.00E-04  1586.5    15.0    280.
1.00E-04  1.33E-04  2003.2    14.5    307.
1.33E-04  1.78E-04  2204.6    13.0    256.
1.78E-04  2.37E-04  2072.6    10.5    154.
2.37E-04  3.16E-04  1715.4     8.0     84.
3.16E-04  4.22E-04  1255.9     5.7     61.
4.22E-04  5.62E-04   841.2     4.0     51.
5.62E-04  7.50E-04   503.6     2.6     44.
7.50E-04  1.00E-03   273.2     1.6     33.
1.00E-03  1.33E-03   133.7     1.0     21.
1.33E-03  1.78E-03    58.54    0.55   12.1
1.78E-03  2.37E-03    23.36    0.30    6.2
2.37E-03  3.16E-03     8.336   0.157  2.86
3.16E-03  4.22E-03     2.735   0.080  1.24
4.22E-03  5.62E-03     0.874   0.042  0.49
5.62E-03  7.50E-03     0.253   0.020  0.19
7.50E-03  1.00E-02     0.084   0.012  0.07
1.00E-02  1.33E-02     0.012   0.003  0.02
1.33E-02  1.78E-02     0.003   0.002  0.01

