#  ABREU 96   ZP C73,11
#  Total Hemisphere Broadening, BSUM
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = BSUM
#  y = (1/N)*D(N)/DBSUM
#  x1  TO x2     y    +- dy    +- dsys
0.020  0.030  0.2030  0.0055  0.0383
0.030  0.040  1.628   0.015   0.183
0.040  0.050  4.999   0.031   0.463
0.050  0.060  8.190   0.041   0.644
0.060  0.070  9.887   0.047   0.661
0.070  0.080  9.883   0.049   0.564
0.080  0.090  9.007   0.047   0.443
0.090  0.100  7.746   0.044   0.332
0.100  0.110  6.714   0.041   0.255
0.110  0.130  5.393   0.026   0.180
0.130  0.150  3.998   0.023   0.125
0.150  0.170  2.980   0.019   0.098
0.170  0.190  2.294   0.017   0.085
0.190  0.210  1.747   0.015   0.075
0.210  0.240  1.242   0.010   0.063
0.240  0.270  0.8125  0.0080  0.0469
0.270  0.300  0.4974  0.0062  0.0296
0.300  0.330  0.2285  0.0041  0.0119
0.330  0.360  0.0732  0.0024  0.0007
