#  ABREU 96   ZP C73,11
#  Oblateness distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = OBLATENESS
#  y = (1/N)*D(N)/DOBLATENESS
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.020   9.357   0.036   0.178
0.020  0.040  11.508   0.038   0.140
0.040  0.060   7.215   0.029   0.072
0.060  0.080   4.736   0.023   0.047
0.080  0.100   3.477   0.020   0.035
0.100  0.120   2.696   0.018   0.027
0.120  0.140   2.106   0.016   0.021
0.140  0.160   1.690   0.014   0.017
0.160  0.200   1.2648  0.0085  0.0126
0.200  0.240   0.8403  0.0069  0.0087
0.240  0.280   0.5674  0.0056  0.0065
0.280  0.320   0.3842  0.0046  0.0050
0.320  0.360   0.2573  0.0037  0.0043
0.360  0.400   0.1594  0.0029  0.0037
0.400  0.440   0.0836  0.0020  0.0030
0.440  0.520   0.0221  0.0007  0.0015
