#  ABREU 96   ZP C73,11
#  D-Parameter distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = D-PARAMETER
#  y = (1/N)*D(N)/DD-PARAMETER
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.008  22.228   0.082   0.868
0.008  0.016  22.766   0.085   0.440
0.016  0.030  12.107   0.047   0.150
0.030  0.044   6.879   0.035   0.079
0.044  0.066   4.284   0.022   0.053
0.066  0.088   2.727   0.018   0.036
0.088  0.112   1.909   0.014   0.028
0.112  0.136   1.415   0.012   0.022
0.136  0.162   1.051   0.010   0.018
0.162  0.188   0.7977  0.0089  0.0145
0.188  0.218   0.6155  0.0073  0.0117
0.218  0.248   0.4566  0.0063  0.0089
0.248  0.284   0.3341  0.0049  0.0065
0.284  0.320   0.2452  0.0042  0.0049
0.320  0.360   0.1774  0.0033  0.0037
0.360  0.400   0.1234  0.0028  0.0028
0.400  0.450   0.0902  0.0021  0.0023
0.450  0.500   0.0603  0.0017  0.0018
0.500  0.560   0.0368  0.0012  0.0013
0.560  0.620   0.0222  0.0009  0.0009
0.620  0.710   0.0128  0.0006  0.0006
0.710  0.800   0.0052  0.0004  0.0003
