#  ABREU 96   ZP C73,11
#  Difference of the Hemisphere Broadening, BDIFF
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = BDIFF
#  y = (1/N)*D(N)/DBDIFF
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.010  26.630   0.081   0.459
0.010  0.020  18.684   0.066   0.292
0.020  0.030  12.343   0.054   0.186
0.030  0.040   8.819   0.046   0.134
0.040  0.050   6.688   0.040   0.106
0.050  0.060   5.111   0.035   0.084
0.060  0.070   4.071   0.031   0.068
0.070  0.080   3.271   0.028   0.054
0.080  0.090   2.681   0.025   0.043
0.090  0.100   2.233   0.023   0.035
0.100  0.120   1.647   0.014   0.026
0.120  0.140   1.111   0.011   0.019
0.140  0.160   0.7618  0.0095  0.0144
0.160  0.180   0.5138  0.0078  0.0119
0.180  0.200   0.3167  0.0062  0.0098
0.200  0.240   0.1265  0.0026  0.0056
0.240  0.280   0.0117  0.0008  0.0008
