#  ABREU 96   ZP C73,11
#  C-Parameter distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = C-PARAMETER
#  y = (1/N)*D(N)/DC-PARAMETER
#  x1  TO x2     y    +- dy    +- dsys
0.000  0.040  0.0881  0.0030  0.0067
0.040  0.080  1.5383  0.0100  0.0831
0.080  0.120  3.909   0.016   0.142
0.120  0.160  3.833   0.016   0.088
0.160  0.200  2.835   0.013   0.040
0.200  0.240  2.164   0.012   0.022
0.240  0.280  1.716   0.010   0.017
0.280  0.320  1.3860  0.0092  0.0139
0.320  0.360  1.1623  0.0084  0.0116
0.360  0.400  0.9720  0.0077  0.0097
0.400  0.440  0.8349  0.0072  0.0083
0.440  0.480  0.7161  0.0066  0.0072
0.480  0.520  0.6205  0.0061  0.0062
0.520  0.560  0.5441  0.0057  0.0054
0.560  0.600  0.4844  0.0054  0.0050
0.600  0.640  0.4209  0.0050  0.0063
0.640  0.680  0.3699  0.0046  0.0079
0.680  0.720  0.3286  0.0044  0.0099
0.720  0.760  0.2813  0.0040  0.0129
0.760  0.800  0.2178  0.0033  0.0151
0.800  0.840  0.1287  0.0026  0.0130
0.840  0.880  0.0542  0.0016  0.0076
0.880  0.920  0.0212  0.0009  0.0040
