#  ABREU 96   ZP C73,11
#  Thrust Major distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = MAJOR
#  y = (1/N)*D(N)/DMAJOR
#  x1  TO x2     y     +- dy     +- dsys
0.000  0.020  0.00040  0.00090  0.00005
0.020  0.040  0.0590   0.0030   0.0058
0.040  0.050  0.642    0.013    0.028
0.050  0.060  2.178    0.024    0.086
0.060  0.070  4.303    0.034    0.155
0.070  0.080  5.849    0.039    0.192
0.080  0.100  6.889    0.030    0.194
0.100  0.120  6.342    0.028    0.143
0.120  0.140  4.890    0.024    0.085
0.140  0.160  3.900    0.021    0.050
0.160  0.200  2.960    0.013    0.030
0.200  0.240  2.124    0.011    0.021
0.240  0.280  1.5562   0.0095   0.0156
0.280  0.320  1.1807   0.0083   0.0118
0.320  0.360  0.8693   0.0071   0.0087
0.360  0.400  0.6493   0.0061   0.0065
0.400  0.440  0.4820   0.0052   0.0048
0.440  0.480  0.3493   0.0044   0.0055
0.480  0.520  0.2497   0.0037   0.0065
0.520  0.560  0.1489   0.0028   0.0058
0.560  0.600  0.0714   0.0019   0.0038
0.600  0.640  0.0203   0.0010   0.0014
