#  ABREU 96   ZP C73,11
#  Wide Hemisphere Broadening, BMAX
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = BMAX
#  y = (1/N)*D(N)/DBMAX
#  x1  TO x2     y     +- dy    +- dsys
0.010  0.020   0.6707  0.0096  0.1077
0.020  0.030   7.538   0.038   0.809
0.030  0.040  14.690   0.058   0.745
0.040  0.050  13.942   0.057   0.592
0.050  0.060  11.298   0.053   0.379
0.060  0.070   9.065   0.048   0.266
0.070  0.080   7.387   0.043   0.222
0.080  0.100   5.445   0.026   0.176
0.100  0.120   3.796   0.022   0.127
0.120  0.140   2.670   0.018   0.087
0.140  0.170   1.756   0.012   0.051
0.170  0.200   1.0580  0.0092  0.0218
0.200  0.240   0.5288  0.0056  0.0053
0.240  0.280   0.1460  0.0028  0.0071
0.280  0.320   0.0029  0.0004  0.0003
