#  ABREU 96   ZP C73,11
#  Heavy-Hemisphere-Mass distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = M(C=HEAVY-HEMISPHERE)**2/EVIS**2
#  y = (1/N)*D(N)/D(M**2/EVIS**2)
#  x1  TO x2     y     +- dy    +- dsys
0.000  0.010   1.994   0.027   0.166
0.010  0.020  18.580   0.065   0.709
0.020  0.030  20.678   0.076   0.729
0.030  0.040  13.377   0.060   0.412
0.040  0.050   8.965   0.049   0.239
0.050  0.060   6.558   0.041   0.151
0.060  0.080   4.515   0.024   0.082
0.080  0.100   2.914   0.019   0.037
0.100  0.120   1.991   0.016   0.020
0.120  0.140   1.406   0.013   0.014
0.140  0.160   1.010   0.011   0.010
0.160  0.200   0.6319  0.0063  0.0063
0.200  0.250   0.3085  0.0039  0.0051
0.250  0.300   0.1115  0.0022  0.0039
0.300  0.350   0.0184  0.0008  0.0012
0.350  0.400   0.0008  0.0002  0.0001
