#  ABREU 96   ZP C73,11
#  Sphericity distribution
#  E+ E- --> (CHARGED + NEUTRAL) X
#  SQRT(S) IN GEV   91.2
#  x = SPHERICITY
#  y = (1/N)*D(N)/DSPHERICITY
#  x1  TO x2     y      +- dy     +- dsys
0.000  0.010  16.198    0.067    0.208
0.010  0.020  20.008    0.072    0.246
0.020  0.030  12.896    0.056    0.153
0.030  0.040   8.237    0.043    0.094
0.040  0.050   5.885    0.037    0.065
0.050  0.060   4.458    0.032    0.048
0.060  0.080   3.272    0.019    0.034
0.080  0.100   2.290    0.016    0.023
0.100  0.120   1.699    0.014    0.017
0.120  0.160   1.2018   0.0082   0.0120
0.160  0.200   0.7988   0.0067   0.0080
0.200  0.250   0.5610   0.0050   0.0063
0.250  0.300   0.3926   0.0042   0.0051
0.300  0.350   0.2810   0.0035   0.0043
0.350  0.400   0.2099   0.0030   0.0037
0.400  0.500   0.1441   0.0018   0.0032
0.500  0.600   0.0842   0.0013   0.0023
0.600  0.700   0.04160  0.00092  0.00129
0.700  0.850   0.00758  0.00032  0.00024
